,,,,MSC25:MEF75/MSC75:MEF25,MSC50:MEF50/MSC75:MEF25,MSC25:MEF75/MSC50:MEF50,,,,,,
CDO in myogenesis (R-HSA-375170),1,-,1.12E-01,1.36E+00,1.31E+00,9.90E-01,,,,,,
Signaling by ERBB2 (R-HSA-1227986),1,+,1.12E-01,1.34E+00,1.29E+00,1.76E+00,,,,,,
ERBB2 Regulates Cell Motility (R-HSA-6785631),1,+,1.12E-01,1.31E+00,1.26E+00,1.02E+00,,,,,,
Myogenesis (R-HSA-525793),1,-,1.12E-01,1.29E+00,1.23E+00,9.45E-01,,,,,,
Lysosome Vesicle Biogenesis (R-HSA-432720),1,+,1.20E-01,1.32E+00,1.21E+00,1.74E+00,,,,,,
Anchoring of the basal body to the plasma membrane (R-HSA-5620912),1,-,1.23E-01,1.33E+00,1.21E+00,1.02E+00,,,,,,
Centrosome maturation (R-HSA-380287),1,-,1.23E-01,1.31E+00,1.19E+00,9.43E-01,,,,,,
Loss of proteins required for interphase microtubule organization from the centrosome (R-HSA-380284),1,-,1.23E-01,1.28E+00,1.19E+00,1.56E+00,,,,,,
Recruitment of mitotic centrosome proteins and complexes (R-HSA-380270),1,-,1.23E-01,1.27E+00,1.17E+00,1.01E+00,,,,,,
Loss of Nlp from mitotic centrosomes (R-HSA-380259),1,-,1.23E-01,1.25E+00,1.18E+00,1.05E+00,,,,,,
COPI-independent Golgi-to-ER retrograde traffic (R-HSA-6811436),1,-,1.23E-01,1.23E+00,1.22E+00,9.84E-01,,,,,,
Cilium Assembly (R-HSA-5617833),1,-,1.23E-01,1.21E+00,1.20E+00,9.78E-01,,,,,,
AURKA Activation by TPX2 (R-HSA-8854518),1,-,1.23E-01,1.19E+00,1.18E+00,1.03E+00,,,,,,
HSP90 chaperone cycle for steroid hormone receptors (SHR) (R-HSA-3371497),1,-,1.23E-01,1.17E+00,1.16E+00,9.98E-01,,,,,,
Hyaluronan uptake and degradation (R-HSA-2160916),1,+,1.23E-01,1.16E+00,1.14E+00,1.48E+00,,,,,,
Hyaluronan metabolism (R-HSA-2142845),1,+,1.23E-01,1.14E+00,1.12E+00,9.73E-01,,,,,,
DAP12 interactions (R-HSA-2172127),1,+,1.37E-01,1.23E+00,1.13E+00,1.03E+00,,,,,,
The role of Nef in HIV-1 replication and disease pathogenesis (R-HSA-164952),1,+,1.37E-01,1.21E+00,1.11E+00,9.80E-01,,,,,,
Nef mediated downregulation of MHC class I complex cell surface expression (R-HSA-164940),1,+,1.37E-01,1.20E+00,1.10E+00,1.11E+00,,,,,,
Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters (R-HSA-164938),1,+,1.37E-01,1.18E+00,1.08E+00,9.37E-01,,,,,,
Endosomal/Vacuolar pathway (R-HSA-1236977),1,+,1.37E-01,1.17E+00,1.06E+00,9.67E-01,,,,,,
DAP12 signaling (R-HSA-2424491),1,+,1.37E-01,1.15E+00,1.05E+00,1.10E+00,,,,,,
E3 ubiquitin ligases ubiquitinate target proteins (R-HSA-8866654),1,-,1.41E-01,1.14E+00,1.04E+00,1.28E+00,,,,,,
RHO GTPases activate IQGAPs (R-HSA-5626467),1,-,1.44E-01,1.03E+00,1.04E+00,1.43E+00,,,,,,
Phase I - Functionalization of compounds (R-HSA-211945),1,+,1.44E-01,1.02E+00,1.03E+00,1.25E+00,,,,,,
Glycogen storage disease type IV (GBE1) (R-HSA-3878781),1,-,1.54E-01,1.03E+00,1.01E+00,1.02E+00,,,,,,
Glycogen synthesis (R-HSA-3322077),1,-,1.54E-01,1.02E+00,9.79E-01,1.02E+00,,,,,,
Cam-PDE 1 activation (R-HSA-111957),1,-,1.64E-01,9.49E-01,9.80E-01,1.01E+00,,,,,,
Early Phase of HIV Life Cycle (R-HSA-162594),1,+,1.68E-01,9.62E-01,9.82E-01,1.27E+00,,,,,,
Integration of provirus (R-HSA-162592),1,+,1.68E-01,9.53E-01,9.74E-01,1.00E+00,,,,,,
HIV Life Cycle (R-HSA-162587),1,+,1.68E-01,9.45E-01,9.58E-01,9.47E-01,,,,,,
2-LTR circle formation (R-HSA-164843),1,+,1.68E-01,9.37E-01,9.73E-01,1.01E+00,,,,,,
Peroxisomal protein import (R-HSA-9033241),1,-,1.71E-01,9.42E-01,9.64E-01,1.13E+00,,,,,,
Negative regulators of DDX58/IFIH1 signaling (R-HSA-936440),1,+,1.75E-01,9.55E-01,9.88E-01,9.62E-01,,,,,,
Regulation of gap junction activity (R-HSA-191650),1,-,1.75E-01,9.47E-01,1.04E+00,9.58E-01,,,,,,
c-src mediated regulation of Cx43 function and closure of gap junctions (R-HSA-191647),1,-,1.75E-01,9.39E-01,1.03E+00,1.41E+00,,,,,,
DDX58/IFIH1-mediated induction of interferon-alpha/beta (R-HSA-168928),1,+,1.75E-01,9.32E-01,1.02E+00,1.00E+00,,,,,,
RUNX1 regulates expression of components of tight junctions (R-HSA-8935964),1,-,1.75E-01,9.25E-01,9.72E-01,1.01E+00,,,,,,
NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10 (R-HSA-933543),1,+,1.75E-01,9.17E-01,9.78E-01,1.00E+00,,,,,,
TRAF6 mediated NF-kB activation (R-HSA-933542),1,+,1.75E-01,9.10E-01,9.70E-01,9.95E-01,,,,,,
TRAF6 mediated IRF7 activation (R-HSA-933541),1,+,1.75E-01,9.03E-01,9.63E-01,1.10E+00,,,,,,
TRAF3-dependent IRF activation pathway (R-HSA-918233),1,+,1.75E-01,8.96E-01,9.55E-01,9.66E-01,,,,,,
Ovarian tumor domain proteases (R-HSA-5689896),1,+,1.75E-01,8.90E-01,9.48E-01,1.10E+00,,,,,,
Stimuli-sensing channels (R-HSA-2672351),1,-,1.83E-01,9.14E-01,9.41E-01,1.52E+00,,,,,,
Branched-chain amino acid catabolism (R-HSA-70895),1,+,1.90E-01,9.40E-01,9.39E-01,1.01E+00,,,,,,
Negative regulation of MET activity (R-HSA-6807004),1,-,1.99E-01,9.58E-01,9.32E-01,1.03E+00,,,,,,
Listeria monocytogenes entry into host cells (R-HSA-8876384),1,-,1.99E-01,9.51E-01,9.25E-01,9.85E-01,,,,,,
InlB-mediated entry of Listeria monocytogenes into host cell (R-HSA-8875360),1,-,1.99E-01,9.45E-01,9.44E-01,1.00E+00,,,,,,
Cristae formation (R-HSA-8949613),1,-,2.07E-01,9.64E-01,9.44E-01,1.05E+00,,,,,,
DCC mediated attractive signaling (R-HSA-418885),1,-,2.20E-01,1.00E+00,9.57E-01,1.03E+00,,,,,,
HSF1-dependent transactivation (R-HSA-3371571),1,+,2.24E-01,1.02E+00,9.51E-01,1.02E+00,,,,,,
RET signaling (R-HSA-8853659),1,-,2.43E-01,1.01E+00,9.51E-01,1.10E+00,,,,,,
CD22 mediated BCR regulation (R-HSA-5690714),1,-,2.47E-01,1.02E+00,9.51E-01,1.10E+00,,,,,,
RHO GTPases activate KTN1 (R-HSA-5625970),1,+,2.47E-01,1.01E+00,9.45E-01,1.01E+00,,,,,,
Acetylcholine regulates insulin secretion (R-HSA-399997),1,-,2.52E-01,1.03E+00,9.39E-01,1.09E+00,,,,,,
Signaling by FGFR (R-HSA-190236),1,+,2.52E-01,1.02E+00,9.33E-01,1.00E+00,,,,,,
FGFR2 alternative splicing (R-HSA-6803529),1,+,2.52E-01,1.01E+00,9.27E-01,1.39E+00,,,,,,
Signaling by FGFR2 (R-HSA-5654738),1,+,2.52E-01,1.01E+00,9.22E-01,1.03E+00,,,,,,
p75NTR regulates axonogenesis (R-HSA-193697),1,-,2.57E-01,9.86E-01,9.16E-01,1.00E+00,,,,,,
Axonal growth inhibition (RHOA activation) (R-HSA-193634),1,-,2.57E-01,9.80E-01,9.10E-01,1.02E+00,,,,,,
"Defective SLCO1B1 causes hyperbilirubinemia, Rotor type (HBLRR) (R-HSA-5619110)",1,-,2.62E-01,9.88E-01,9.36E-01,1.10E+00,,,,,,
SLC transporter disorders (R-HSA-5619102),1,-,2.62E-01,9.83E-01,9.30E-01,1.02E+00,,,,,,
Recycling of bile acids and salts (R-HSA-159418),1,-,2.62E-01,9.77E-01,9.25E-01,1.49E+00,,,,,,
Arachidonic acid metabolism (R-HSA-2142753),1,+,2.62E-01,9.72E-01,9.19E-01,1.02E+00,,,,,,
Synthesis of bile acids and bile salts (R-HSA-192105),1,+,2.62E-01,9.66E-01,9.10E-01,9.94E-01,,,,,,
"Transport of vitamins, nucleosides, and related molecules (R-HSA-425397)",1,-,2.62E-01,9.61E-01,9.05E-01,1.25E+00,,,,,,
Synthesis of bile acids and bile salts via 27-hydroxycholesterol (R-HSA-193807),1,+,2.62E-01,9.56E-01,9.00E-01,1.02E+00,,,,,,
Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol (R-HSA-193368),1,+,2.62E-01,9.51E-01,8.95E-01,9.34E-01,,,,,,
"Defective SLCO1B3 causes hyperbilirubinemia, Rotor type (HBLRR) (R-HSA-5619058)",1,-,2.62E-01,9.46E-01,8.93E-01,9.96E-01,,,,,,
RA biosynthesis pathway (R-HSA-5365859),1,+,2.62E-01,9.40E-01,8.88E-01,1.13E+00,,,,,,
Transport of organic anions (R-HSA-879518),1,-,2.62E-01,9.35E-01,8.83E-01,1.02E+00,,,,,,
Synthesis of Prostaglandins (PG) and Thromboxanes (TX) (R-HSA-2162123),1,+,2.62E-01,9.31E-01,8.78E-01,1.46E+00,,,,,,
Signaling by Retinoic Acid (R-HSA-5362517),1,+,2.62E-01,9.26E-01,8.91E-01,9.92E-01,,,,,,
HDL remodeling (R-HSA-8964058),1,-,2.62E-01,9.21E-01,8.89E-01,1.59E+00,,,,,,
Synthesis of bile acids and bile salts via 24-hydroxycholesterol (R-HSA-193775),1,+,2.62E-01,9.16E-01,8.85E-01,9.65E-01,,,,,,
Protein methylation (R-HSA-8876725),1,+,2.67E-01,9.19E-01,9.05E-01,1.02E+00,,,,,,
Glycogen breakdown (glycogenolysis) (R-HSA-70221),1,-,2.67E-01,9.15E-01,9.01E-01,1.01E+00,,,,,,
Glycogen storage disease type II (GAA) (R-HSA-5357609),1,-,2.67E-01,9.10E-01,8.96E-01,1.01E+00,,,,,,
PERK regulates gene expression (R-HSA-381042),1,+,2.83E-01,9.21E-01,8.92E-01,9.93E-01,,,,,,
ATF4 activates genes (R-HSA-380994),1,+,2.83E-01,9.16E-01,8.87E-01,1.02E+00,,,,,,
KSRP (KHSRP) binds and destabilizes mRNA (R-HSA-450604),1,+,2.83E-01,9.12E-01,8.83E-01,9.42E-01,,,,,,
Advanced glycosylation endproduct receptor signaling (R-HSA-879415),1,+,2.88E-01,9.16E-01,8.79E-01,9.56E-01,,,,,,
GPCR ligand binding (R-HSA-500792),1,-,2.99E-01,9.37E-01,8.74E-01,1.01E+00,,,,,,
Peptide ligand-binding receptors (R-HSA-375276),1,-,2.99E-01,9.32E-01,8.70E-01,9.51E-01,,,,,,
Class A/1 (Rhodopsin-like receptors) (R-HSA-373076),1,-,2.99E-01,9.28E-01,8.66E-01,9.70E-01,,,,,,
Formyl peptide receptors bind formyl peptides and many other ligands (R-HSA-444473),1,-,2.99E-01,9.24E-01,8.62E-01,9.66E-01,,,,,,
Vitamins B6 activation to pyridoxal phosphate (R-HSA-964975),1,+,2.99E-01,9.19E-01,8.66E-01,1.01E+00,,,,,,
Regulation of PTEN localization (R-HSA-8948747),1,+,3.04E-01,6.78E-01,6.40E-01,9.90E-01,,,,,,
TBC/RABGAPs (R-HSA-8854214),1,-,3.04E-01,6.76E-01,6.38E-01,9.99E-01,,,,,,
SUMOylation of DNA damage response and repair proteins (R-HSA-3108214),1,+,3.04E-01,6.74E-01,6.53E-01,1.13E+00,,,,,,
SUMOylation of ubiquitinylation proteins (R-HSA-3232142),1,+,3.04E-01,6.71E-01,6.51E-01,1.00E+00,,,,,,
Regulation of RUNX1 Expression and Activity (R-HSA-8934593),1,+,3.04E-01,6.69E-01,6.61E-01,9.90E-01,,,,,,
Regulation of TP53 Activity through Acetylation (R-HSA-6804758),1,+,3.04E-01,6.67E-01,6.58E-01,1.23E+00,,,,,,
Regulation of TP53 Activity (R-HSA-5633007),1,+,3.04E-01,6.65E-01,6.78E-01,9.35E-01,,,,,,
Rab regulation of trafficking (R-HSA-9007101),1,-,3.04E-01,6.63E-01,6.76E-01,1.25E+00,,,,,,
Scavenging by Class H Receptors (R-HSA-3000497),1,-,3.21E-01,6.82E-01,6.67E-01,1.00E+00,,,,,,
Scavenging by Class B Receptors (R-HSA-3000471),1,-,3.21E-01,6.80E-01,6.66E-01,1.00E+00,,,,,,
Platelet sensitization by LDL (R-HSA-432142),1,-,3.21E-01,6.77E-01,6.96E-01,9.59E-01,,,,,,
Regulation of TLR by endogenous ligand (R-HSA-5686938),1,-,3.21E-01,6.75E-01,7.06E-01,1.23E+00,,,,,,
Chylomicron remodeling (R-HSA-8963901),1,-,3.21E-01,6.73E-01,7.04E-01,9.62E-01,,,,,,
VLDL clearance (R-HSA-8964046),1,-,3.21E-01,6.71E-01,7.02E-01,1.01E+00,,,,,,
LDL remodeling (R-HSA-8964041),1,-,3.21E-01,6.69E-01,7.12E-01,1.01E+00,,,,,,
Chylomicron clearance (R-HSA-8964026),1,-,3.21E-01,6.67E-01,7.10E-01,1.45E+00,,,,,,
HDL clearance (R-HSA-8964011),1,-,3.27E-01,6.75E-01,7.08E-01,1.10E+00,,,,,,
Glycosphingolipid metabolism (R-HSA-1660662),1,+,3.33E-01,6.83E-01,7.16E-01,9.75E-01,,,,,,
Sphingolipid metabolism (R-HSA-428157),1,+,3.33E-01,6.81E-01,7.14E-01,1.10E+00,,,,,,
CRMPs in Sema3A signaling (R-HSA-399956),1,+,3.39E-01,6.88E-01,7.12E-01,1.01E+00,,,,,,
Regulation of HSF1-mediated heat shock response (R-HSA-3371453),1,-,3.45E-01,6.98E-01,7.09E-01,9.37E-01,,,,,,
Toll Like Receptor 9 (TLR9) Cascade (R-HSA-168138),1,+,3.51E-01,7.02E-01,7.07E-01,1.10E+00,,,,,,
Ion transport by P-type ATPases (R-HSA-936837),1,+,3.57E-01,7.08E-01,7.05E-01,1.01E+00,,,,,,
Reduction of cytosolic Ca++ levels (R-HSA-418359),1,+,3.57E-01,7.06E-01,7.03E-01,1.01E+00,,,,,,
Insulin effects increased synthesis of Xylulose-5-Phosphate (R-HSA-163754),1,-,3.69E-01,7.24E-01,7.01E-01,9.95E-01,,,,,,
"Formation of the active cofactor, UDP-glucuronate (R-HSA-173599)",1,-,3.95E-01,7.59E-01,6.99E-01,9.86E-01,,,,,,
Glucuronidation (R-HSA-156588),1,-,3.95E-01,7.56E-01,6.97E-01,9.69E-01,,,,,,
HS-GAG biosynthesis (R-HSA-2022928),1,+,4.08E-01,7.75E-01,6.96E-01,9.58E-01,,,,,,
"Defective EXT1 causes exostoses 1, TRPS2 and CHDS (R-HSA-3656253)",1,+,4.08E-01,7.73E-01,6.98E-01,1.01E+00,,,,,,
Defective EXT2 causes exostoses 2 (R-HSA-3656237),1,+,4.08E-01,7.71E-01,7.22E-01,1.00E+00,,,,,,
HS-GAG degradation (R-HSA-2024096),1,+,4.08E-01,7.69E-01,7.20E-01,1.08E+00,,,,,,
Amino acid transport across the plasma membrane (R-HSA-352230),1,-,4.42E-01,8.06E-01,7.30E-01,9.98E-01,,,,,,
Transport of inorganic cations/anions and amino acids/oligopeptides (R-HSA-425393),1,-,4.42E-01,8.03E-01,7.28E-01,9.53E-01,,,,,,
Creatine metabolism (R-HSA-71288),1,-,4.49E-01,8.10E-01,7.54E-01,1.07E+00,,,,,,
Clearance of Nuclear Envelope Membranes from Chromatin (R-HSA-2993913),1,-,4.56E-01,8.18E-01,7.52E-01,1.00E+00,,,,,,
Nuclear Envelope Breakdown (R-HSA-2980766),1,-,4.56E-01,8.16E-01,7.77E-01,9.90E-01,,,,,,
DNA Damage/Telomere Stress Induced Senescence (R-HSA-2559586),1,-,4.56E-01,8.14E-01,7.75E-01,1.24E+00,,,,,,
Formation of Senescence-Associated Heterochromatin Foci (SAHF) (R-HSA-2559584),1,-,4.56E-01,8.11E-01,7.83E-01,9.46E-01,,,,,,
Breakdown of the nuclear lamina (R-HSA-352238),1,-,4.56E-01,8.09E-01,7.81E-01,1.01E+00,,,,,,
Nuclear Envelope Reassembly (R-HSA-2995410),1,-,4.56E-01,8.07E-01,7.79E-01,1.04E+00,,,,,,
Depolymerisation of the Nuclear Lamina (R-HSA-4419969),1,-,4.56E-01,8.05E-01,7.85E-01,1.08E+00,,,,,,
Initiation of Nuclear Envelope Reformation (R-HSA-2995383),1,-,4.56E-01,8.03E-01,7.86E-01,9.98E-01,,,,,,
Synthesis of active ubiquitin: roles of E1 and E2 enzymes (R-HSA-8866652),1,+,4.77E-01,8.26E-01,7.84E-01,1.01E+00,,,,,,
Glyoxylate metabolism and glycine degradation (R-HSA-389661),1,-,4.77E-01,8.24E-01,7.82E-01,9.76E-01,,,,,,
Processing of DNA double-strand break ends (R-HSA-5693607),1,-,5.15E-01,8.59E-01,7.80E-01,9.95E-01,,,,,,
DNA Double Strand Break Response (R-HSA-5693606),1,-,5.15E-01,8.57E-01,7.78E-01,1.10E+00,,,,,,
G2/M DNA damage checkpoint (R-HSA-69473),1,-,5.15E-01,8.55E-01,7.76E-01,1.62E+00,,,,,,
SUMOylation of transcription factors (R-HSA-3232118),1,-,5.15E-01,8.53E-01,7.77E-01,1.22E+00,,,,,,
HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA) (R-HSA-5693567),1,-,5.15E-01,8.50E-01,7.75E-01,9.91E-01,,,,,,
Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks (R-HSA-5693565),1,-,5.15E-01,8.48E-01,7.73E-01,1.20E+00,,,,,,
Homology Directed Repair (R-HSA-5693538),1,-,5.15E-01,8.46E-01,7.72E-01,1.12E+00,,,,,,
RNA Polymerase I Transcription (R-HSA-73864),1,-,5.30E-01,8.65E-01,7.70E-01,9.92E-01,,,,,,
RNA Polymerase I Transcription Termination (R-HSA-73863),1,-,5.30E-01,8.63E-01,7.68E-01,1.10E+00,,,,,,
Senescence-Associated Secretory Phenotype (SASP) (R-HSA-2559582),1,-,5.38E-01,8.71E-01,7.66E-01,1.09E+00,,,,,,
Pyruvate metabolism (R-HSA-70268),1,+,5.69E-01,9.00E-01,7.64E-01,1.22E+00,,,,,,
Type I hemidesmosome assembly (R-HSA-446107),1,+,5.77E-01,9.07E-01,7.88E-01,9.47E-01,,,,,,
SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion (R-HSA-399955),1,-,5.85E-01,9.11E-01,7.87E-01,1.02E+00,,,,,,
mRNA Splicing - Minor Pathway (R-HSA-72165),1,-,5.93E-01,9.11E-01,7.85E-01,9.90E-01,,,,,,
Interleukin-23 signaling (R-HSA-9020933),1,+,6.01E-01,9.19E-01,7.83E-01,1.07E+00,,,,,,
Role of ABL in ROBO-SLIT signaling (R-HSA-428890),1,+,6.09E-01,9.21E-01,7.81E-01,9.78E-01,,,,,,
Formation of annular gap junctions (R-HSA-196025),1,-,6.09E-01,9.19E-01,7.79E-01,9.42E-01,,,,,,
Gap junction degradation (R-HSA-190873),1,-,6.09E-01,9.17E-01,7.78E-01,1.03E+00,,,,,,
Gap junction trafficking (R-HSA-190828),1,-,6.09E-01,9.15E-01,7.76E-01,1.36E+00,,,,,,
Butyrophilin (BTN) family interactions (R-HSA-8851680),1,+,6.34E-01,9.23E-01,7.79E-01,1.06E+00,,,,,,
Peptide hormone metabolism (R-HSA-2980736),1,+,6.85E-01,9.37E-01,7.77E-01,9.99E-01,,,,,,
Estrogen-dependent gene expression (R-HSA-9018519),1,+,6.85E-01,9.35E-01,8.16E-01,1.43E+00,,,,,,
ESR-mediated signaling (R-HSA-8939211),1,+,6.85E-01,9.33E-01,8.33E-01,1.00E+00,,,,,,
Metabolism of Angiotensinogen to Angiotensins (R-HSA-2022377),1,+,6.85E-01,9.31E-01,8.32E-01,1.00E+00,,,,,,
tRNA processing (R-HSA-72306),1,-,6.94E-01,9.41E-01,8.29E-01,1.71E+00,,,,,,
tRNA modification in the nucleus and cytosol (R-HSA-6782315),1,-,6.94E-01,9.39E-01,8.27E-01,9.89E-01,,,,,,
Mitochondrial protein import (R-HSA-1268020),1,-,7.03E-01,9.45E-01,8.26E-01,1.02E+00,,,,,,
Defective B4GALT1 causes B4GALT1-CDG (CDG-2d) (R-HSA-3656244),1,-,7.29E-01,9.41E-01,8.24E-01,1.01E+00,,,,,,
Defective ST3GAL3 causes MCT12 and EIEE15 (R-HSA-3656243),1,-,7.29E-01,9.39E-01,8.27E-01,1.02E+00,,,,,,
Defective CHST6 causes MCDC1 (R-HSA-3656225),1,-,7.29E-01,9.37E-01,8.48E-01,1.02E+00,,,,,,
Keratan sulfate/keratin metabolism (R-HSA-1638074),1,-,7.29E-01,9.35E-01,8.65E-01,9.96E-01,,,,,,
Keratan sulfate degradation (R-HSA-2022857),1,-,7.29E-01,9.34E-01,8.63E-01,1.10E+00,,,,,,
Keratan sulfate biosynthesis (R-HSA-2022854),1,-,7.29E-01,9.32E-01,8.62E-01,9.88E-01,,,,,,
Other interleukin signaling (R-HSA-449836),1,-,7.38E-01,9.34E-01,8.60E-01,1.19E+00,,,,,,
Interleukin-6 family signaling (R-HSA-6783589),1,+,7.56E-01,9.44E-01,8.58E-01,1.10E+00,,,,,,
Intra-Golgi traffic (R-HSA-6811438),1,-,7.56E-01,9.42E-01,8.56E-01,1.09E+00,,,,,,
Signaling by SCF-KIT (R-HSA-1433557),1,+,7.56E-01,9.41E-01,8.73E-01,9.88E-01,,,,,,
Interleukin-35 Signalling (R-HSA-8984722),1,+,7.56E-01,9.39E-01,8.71E-01,9.84E-01,,,,,,
Downstream signal transduction (R-HSA-186763),1,+,7.56E-01,9.37E-01,8.70E-01,9.99E-01,,,,,,
Interleukin-21 signaling (R-HSA-9020958),1,+,7.56E-01,9.36E-01,8.83E-01,9.86E-01,,,,,,
Interleukin-27 signaling (R-HSA-9020956),1,+,7.56E-01,9.34E-01,8.82E-01,9.39E-01,,,,,,
NOTCH3 Intracellular Domain Regulates Transcription (R-HSA-9013508),1,+,7.56E-01,9.32E-01,8.80E-01,1.03E+00,,,,,,
Interleukin-2 family signaling (R-HSA-451927),1,+,7.56E-01,9.30E-01,8.78E-01,9.83E-01,,,,,,
Interleukin-6 signaling (R-HSA-1059683),1,+,7.56E-01,9.29E-01,8.77E-01,1.05E+00,,,,,,
Signaling by FGFR in disease (R-HSA-1226099),1,+,7.56E-01,9.27E-01,8.75E-01,1.01E+00,,,,,,
Interleukin-9 signaling (R-HSA-8985947),1,+,7.56E-01,9.25E-01,8.84E-01,9.83E-01,,,,,,
Interleukin-20 family signaling (R-HSA-8854691),1,+,7.56E-01,9.24E-01,8.83E-01,1.21E+00,,,,,,
Growth hormone receptor signaling (R-HSA-982772),1,+,7.56E-01,9.22E-01,8.85E-01,9.83E-01,,,,,,
FGFR1 mutant receptor activation (R-HSA-1839124),1,+,7.56E-01,9.20E-01,8.84E-01,1.77E+00,,,,,,
Signaling by cytosolic FGFR1 fusion mutants (R-HSA-1839117),1,+,7.56E-01,9.19E-01,8.82E-01,1.67E+00,,,,,,
Signaling by FGFR1 in disease (R-HSA-5655302),1,+,7.56E-01,9.17E-01,8.80E-01,1.02E+00,,,,,,
Signaling by NOTCH3 (R-HSA-9012852),1,+,7.56E-01,9.15E-01,8.79E-01,1.00E+00,,,,,,
COPI-dependent Golgi-to-ER retrograde traffic (R-HSA-6811434),1,+,7.83E-01,9.31E-01,8.77E-01,1.09E+00,,,,,,
Glucagon-like Peptide-1 (GLP1) regulates insulin secretion (R-HSA-381676),1,-,7.92E-01,9.32E-01,8.75E-01,9.94E-01,,,,,,
DARPP-32 events (R-HSA-180024),1,-,7.92E-01,9.30E-01,8.74E-01,9.95E-01,,,,,,
Glucagon signaling in metabolic regulation (R-HSA-163359),1,-,7.92E-01,9.29E-01,8.68E-01,1.34E+00,,,,,,
Factors involved in megakaryocyte development and platelet production (R-HSA-983231),1,-,7.92E-01,9.27E-01,8.67E-01,9.91E-01,,,,,,
PKA activation (R-HSA-163615),1,-,7.92E-01,9.25E-01,8.65E-01,1.00E+00,,,,,,
Aquaporin-mediated transport (R-HSA-445717),1,-,7.92E-01,9.24E-01,8.64E-01,1.27E+00,,,,,,
PKA-mediated phosphorylation of CREB (R-HSA-111931),1,-,7.92E-01,9.22E-01,8.62E-01,1.17E+00,,,,,,
Vasopressin regulates renal water homeostasis via Aquaporins (R-HSA-432040),1,-,7.92E-01,9.21E-01,8.60E-01,9.53E-01,,,,,,
ROBO receptors bind AKAP5 (R-HSA-9010642),1,-,7.92E-01,9.19E-01,8.59E-01,9.49E-01,,,,,,
PKA activation in glucagon signalling (R-HSA-164378),1,-,7.92E-01,9.17E-01,8.80E-01,9.96E-01,,,,,,
HDL assembly (R-HSA-8963896),1,+,8.10E-01,9.23E-01,8.93E-01,9.92E-01,,,,,,
Formation of Fibrin Clot (Clotting Cascade) (R-HSA-140877),1,+,8.10E-01,9.21E-01,9.11E-01,9.89E-01,,,,,,
Intrinsic Pathway of Fibrin Clot Formation (R-HSA-140837),1,+,8.10E-01,9.19E-01,9.10E-01,9.80E-01,,,,,,
Methionine salvage pathway (R-HSA-1237112),1,-,8.19E-01,9.19E-01,9.08E-01,9.32E-01,,,,,,
Regulation of Complement cascade (R-HSA-977606),1,+,8.28E-01,9.28E-01,9.06E-01,9.64E-01,,,,,,
Complement cascade (R-HSA-166658),1,+,8.28E-01,9.26E-01,9.05E-01,9.77E-01,,,,,,
Cargo concentration in the ER (R-HSA-5694530),1,+,8.28E-01,9.24E-01,9.03E-01,9.84E-01,,,,,,
RUNX2 regulates osteoblast differentiation (R-HSA-8940973),1,+,8.46E-01,9.40E-01,9.02E-01,1.09E+00,,,,,,
Dermatan sulfate biosynthesis (R-HSA-2022923),1,-,8.46E-01,9.39E-01,9.00E-01,9.33E-01,,,,,,
CS/DS degradation (R-HSA-2024101),1,-,8.46E-01,9.37E-01,8.99E-01,9.96E-01,,,,,,
RUNX2 regulates bone development (R-HSA-8941326),1,+,8.46E-01,9.36E-01,8.97E-01,1.12E+00,,,,,,
Defective CHSY1 causes TPBS (R-HSA-3595177),1,-,8.46E-01,9.34E-01,8.95E-01,9.90E-01,,,,,,
"Defective CHST14 causes EDS, musculocontractural type (R-HSA-3595174)",1,-,8.46E-01,9.33E-01,8.94E-01,1.07E+00,,,,,,
Defective CHST3 causes SEDCJD (R-HSA-3595172),1,-,8.46E-01,9.31E-01,8.92E-01,1.00E+00,,,,,,
Chondroitin sulfate biosynthesis (R-HSA-2022870),1,-,8.46E-01,9.29E-01,8.91E-01,9.94E-01,,,,,,
Fatty acyl-CoA biosynthesis (R-HSA-75105),1,-,8.93E-01,9.66E-01,8.89E-01,9.86E-01,,,,,,
Regulation of cholesterol biosynthesis by SREBP (SREBF) (R-HSA-1655829),1,-,8.93E-01,9.64E-01,8.88E-01,9.89E-01,,,,,,
Vitamin B5 (pantothenate) metabolism (R-HSA-199220),1,-,8.93E-01,9.63E-01,8.86E-01,1.05E+00,,,,,,
Activation of gene expression by SREBF (SREBP) (R-HSA-2426168),1,-,8.93E-01,9.61E-01,9.23E-01,1.12E+00,,,,,,
ChREBP activates metabolic gene expression (R-HSA-163765),1,-,8.93E-01,9.60E-01,9.31E-01,9.91E-01,,,,,,
Glutathione conjugation (R-HSA-156590),1,-,9.02E-01,9.64E-01,9.29E-01,9.77E-01,,,,,,
Glutathione synthesis and recycling (R-HSA-174403),1,-,9.02E-01,9.62E-01,9.28E-01,1.00E+00,,,,,,
